# SMF observations as plotted in SAGE26 Paper I, Figure 12.
# Generated by build_paper_observations.py -- do not hand-edit.
label z log_mass log_phi err_lo err_hi
Thorne+21 2.0000 11.03517 -3.40230 0.05115 0.04576
Thorne+21 2.0000 11.05673 -3.46569 0.05271 0.04700
Thorne+21 2.0000 11.07828 -3.44746 0.05041 0.04516
Thorne+21 2.0000 11.09983 -3.62059 0.06695 0.05799
Thorne+21 2.0000 11.12139 -3.57839 0.06030 0.05294
Thorne+21 2.0000 11.14294 -3.56260 0.05799 0.05115
Thorne+21 2.0000 11.16449 -3.67732 0.07717 0.06550
Thorne+21 2.0000 11.18604 -3.63869 0.07004 0.06030
Thorne+21 2.0000 11.20760 -3.54736 0.06446 0.05612
Thorne+21 2.0000 11.22915 -3.74258 0.07684 0.06527
Thorne+21 2.0000 11.25070 -3.76672 0.08167 0.06872
Thorne+21 2.0000 11.27225 -3.87942 0.08894 0.07379
Thorne+21 2.0000 11.29381 -4.00975 0.09691 0.07918
Thorne+21 2.0000 11.31536 -3.91284 0.09691 0.07918
Thorne+21 2.0000 11.33691 -3.84839 0.08219 0.06908
Thorne+21 2.0000 11.35847 -3.91284 0.09691 0.07918
Thorne+21 2.0000 11.38002 -4.13469 0.13470 0.10266
Thorne+21 2.0000 11.40157 -4.16466 0.14613 0.10914
Thorne+21 2.0000 11.42312 -4.40769 0.20412 0.13830
Thorne+21 2.0000 11.44468 -4.16466 0.14613 0.10914
Thorne+21 2.0000 11.46623 -4.10666 0.12494 0.09691
Thorne+21 2.0000 11.48778 -4.13469 0.13470 0.10266
Thorne+21 2.0000 11.50933 -4.23160 0.12494 0.09691
Thorne+21 2.0000 11.53089 -4.70872 0.30103 0.17609
Thorne+21 2.0000 11.55244 -4.70872 0.30103 0.17609
Thorne+21 2.0000 11.57399 -4.31078 0.15490 0.11394
Thorne+21 2.0000 11.59555 -4.61181 0.22185 0.14613
Thorne+21 2.0000 11.61710 -4.40769 0.20412 0.13830
Thorne+21 2.0000 11.63865 -5.31078 1.30103 0.30103
Thorne+21 2.0000 11.66020 -4.70872 0.30103 0.17609
Thorne+21 2.0000 11.68176 -4.83366 0.47712 0.22185
Thorne+21 2.0000 11.70331 -5.00975 0.30103 0.17609
Thorne+21 2.0000 11.72486 -5.31078 1.30103 0.30103
Thorne+21 2.0000 11.74642 -4.83366 0.47712 0.22185
Thorne+21 2.0000 11.76797 -5.31078 1.30103 0.30103
Thorne+21 2.0000 11.78952 -5.31078 1.30103 0.30103
Thorne+21 2.0000 11.81107 -4.83366 0.47712 0.22185
Thorne+21 2.0000 11.83263 -5.00975 0.30103 0.17609
